journal_nlm_id	delay_type	slope	slope_as_percent	p_value
0326377	Acceptance	  -0.20493	  -0.19498	 5.24e-01
0326377	Publication	  -5.41432	 -17.44266	 0.00e+00
0330057	Acceptance	 -12.08163	  -6.66535	 1.41e-09
0330057	Publication	 -18.18750	 -23.90048	 4.84e-45
0330167	Acceptance	  -2.42230	  -3.19249	 9.25e-02
0330167	Publication	 -26.31162	 -32.26971	 4.44e-30
0330411	Acceptance	  19.08453	   9.41595	1.75e-170
0330411	Publication	  -0.92501	 -40.18759	 5.53e-05
0330471	Acceptance	   8.84941	   6.09657	 8.18e-02
0330500	Acceptance	  -7.90804	  -6.39039	1.65e-269
0330500	Publication	  -4.60597	 -12.90539	 0.00e+00
0330501	Acceptance	  27.67044	   7.27342	 9.31e-05
0330501	Publication	  -0.52345	  -4.25547	 2.51e-02
0331072	Acceptance	  -1.23293	  -1.45537	 6.63e-01
0331072	Publication	   1.32723	   4.00925	 2.10e-01
0331777	Acceptance	 -37.94223	 -32.25301	 1.45e-01
0331777	Publication	 -24.01662	 -43.98780	 2.24e-02
0332173	Acceptance	   0.22733	   0.19933	 5.62e-01
0332173	Publication	 -13.92128	 -26.21391	 0.00e+00
0333507	Acceptance	  -9.18551	  -6.36270	1.91e-141
0333507	Publication	  -1.08681	  -7.00811	 6.56e-23
0334721	Acceptance	  -0.05489	  -0.04324	 9.52e-01
0334721	Publication	 -18.96537	 -12.97739	 1.54e-36
0337330	Acceptance	   1.73616	   0.57794	 3.36e-01
0337330	Publication	  -1.83275	  -2.35267	 5.31e-03
0342367	Acceptance	  60.37643	  27.55068	 1.91e-01
0342367	Publication	 158.54902	  77.97962	 2.23e-18
0346653	Acceptance	   0.83619	   0.87691	 6.43e-01
0346653	Publication	 -28.93480	 -48.22346	 9.55e-22
0347227	Acceptance	   2.38186	   1.71945	 4.99e-03
0347227	Publication	  -3.38409	 -17.97416	 8.30e-93
0354422	Acceptance	  -1.83036	  -1.52252	 9.76e-04
0354422	Publication	  -7.19236	 -26.50144	4.62e-136
0354720	Acceptance	  -2.07900	  -2.50227	 9.22e-02
0354720	Publication	  -7.44276	  -8.11518	 1.23e-07
0356504	Acceptance	  -2.18063	  -2.92225	 6.69e-01
0356504	Publication	   2.31280	   4.68397	 1.81e-02
0357245	Acceptance	  -3.02000	  -2.08808	 3.09e-09
0357245	Publication	 -15.27729	 -22.96509	2.66e-201
0357443	Acceptance	  11.40103	  14.57513	 2.49e-13
0360051	Acceptance	  -1.63869	  -1.01069	 1.25e-02
0360051	Publication	 -13.03473	 -21.72885	1.04e-149
0360342	Acceptance	   2.98563	   2.14181	 1.16e-02
0360342	Publication	  -2.49844	  -9.73254	 2.60e-47
0360430	Acceptance	  -8.54643	  -8.50767	 4.84e-02
0361031	Acceptance	  -5.78410	  -5.44945	 2.14e-02
0361055	Acceptance	   0.40035	   0.57180	 2.52e-01
0361055	Publication	  -1.89625	 -13.53340	 2.86e-79
0361512	Acceptance	 -14.04897	  -8.85329	 8.59e-80
0361512	Publication	  -4.81159	 -20.11946	 1.18e-99
0361603	Acceptance	 -10.76542	  -5.13055	 2.78e-04
0364220	Acceptance	  -2.21596	  -1.20253	 6.15e-01
0364220	Publication	  -4.54230	 -13.22828	 2.25e-07
0364265	Acceptance	   8.87199	   6.00699	 2.63e-16
0364265	Publication	  -8.69827	  -7.72892	 2.13e-11
0364311	Acceptance	  -2.74086	  -1.78397	 5.13e-02
0364311	Publication	  -8.77895	 -16.53389	 4.00e-38
0364456	Acceptance	   1.22310	   1.19910	 7.59e-04
0364456	Publication	  -6.42994	 -22.13459	2.20e-127
0364547	Acceptance	 -51.80132	 -19.01255	 8.94e-06
0364547	Publication	 -70.91524	 -92.62238	 6.82e-18
0365304	Acceptance	  -3.13548	  -4.01766	 3.99e-59
0365304	Publication	  -5.97702	 -19.67151	 0.00e+00
0365307	Acceptance	 -11.98270	  -7.82793	 6.17e-46
0365307	Publication	 -23.67999	 -38.76664	1.12e-190
0365332	Acceptance	   1.59941	   1.53572	 2.87e-06
0365332	Publication	  -0.53065	  -0.75667	 1.58e-02
0366126	Acceptance	  -8.60898	  -5.12396	 8.32e-05
0366126	Publication	  36.85363	  29.72877	 2.25e-77
0366151	Acceptance	  -5.50824	  -4.98114	 8.26e-98
0366151	Publication	  -8.19658	  -8.67204	2.14e-170
0366372	Acceptance	  -9.33286	 -10.90402	 3.72e-07
0366372	Publication	 -47.53244	 -65.25468	 2.27e-20
0367050	Acceptance	  -1.37441	  -0.93187	 5.20e-03
0367050	Publication	  -2.96250	 -19.22987	4.31e-204
0367070	Acceptance	  -6.33650	  -5.09807	 1.07e-03
0367070	Publication	 -33.82265	 -18.52445	 6.18e-14
0367541	Acceptance	  11.69802	   3.97924	 1.65e-17
0367541	Publication	  -5.47779	 -12.03562	 3.93e-91
0370073	Acceptance	   7.98331	  11.19494	 2.16e-12
0370073	Publication	  -4.35707	  -3.36922	 5.64e-03
0370121	Acceptance	  -1.50300	  -0.93215	 1.88e-01
0370121	Publication	  -2.11630	 -12.68756	 1.07e-21
0370270	Acceptance	 126.24817	 123.22775	 6.59e-10
0370270	Publication	  -3.70713	  -8.10522	 1.17e-07
